report_name,report_agency,date,os,visits,browser
Operating system and browser,Department of Agriculture,1/23/24,Chrome OS,30807,Chrome
Operating system and browser,Department of Agriculture,1/23/24,Macintosh,30134,Safari
Operating system and browser,Department of Agriculture,1/23/24,Macintosh,29978,Chrome
Operating system and browser,Department of Agriculture,1/23/24,iOS,15721,Chrome
Operating system and browser,Department of Agriculture,1/23/24,Linux,10606,Chrome
Operating system and browser,Department of Agriculture,1/23/24,Windows,7713,Firefox
Operating system and browser,Department of Agriculture,1/23/24,iOS,5657,Safari (in-app)
Operating system and browser,Department of Agriculture,1/23/24,Android,4479,Samsung Internet
Operating system and browser,Department of Agriculture,1/23/24,Android,2513,Android Webview
Operating system and browser,Department of Agriculture,1/23/24,Macintosh,2478,Firefox
Operating system and browser,Department of Agriculture,1/23/24,Android,701,Firefox
Operating system and browser,Department of Agriculture,1/23/24,Windows,649,Opera
Operating system and browser,Department of Agriculture,1/23/24,Android,517,Amazon Silk
Operating system and browser,Department of Agriculture,1/23/24,Linux,396,Firefox
Operating system and browser,Department of Agriculture,1/23/24,Android,316,Opera
Operating system and browser,Department of Agriculture,1/23/24,iOS,299,(not set)
Operating system and browser,Department of Agriculture,1/23/24,Macintosh,212,Edge
Operating system and browser,Department of Agriculture,1/23/24,Macintosh,207,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/23/24,(not set),160,(not set)
Operating system and browser,Department of Agriculture,1/23/24,Windows,141,Internet Explorer
Operating system and browser,Department of Agriculture,1/23/24,Linux,124,Samsung Internet
Operating system and browser,Department of Agriculture,1/23/24,(not set),104,Opera Mini
Operating system and browser,Department of Agriculture,1/22/24,Windows,180772,Chrome
Operating system and browser,Department of Agriculture,1/22/24,iOS,112675,Safari
Operating system and browser,Department of Agriculture,1/22/24,Windows,77974,Edge
Operating system and browser,Department of Agriculture,1/22/24,Android,64149,Chrome
Operating system and browser,Department of Agriculture,1/22/24,Macintosh,31195,Safari
Operating system and browser,Department of Agriculture,1/22/24,Macintosh,30055,Chrome
Operating system and browser,Department of Agriculture,1/22/24,Chrome OS,29730,Chrome
Operating system and browser,Department of Agriculture,1/22/24,iOS,15819,Chrome
Operating system and browser,Department of Agriculture,1/22/24,Linux,10540,Chrome
Operating system and browser,Department of Agriculture,1/22/24,Windows,7958,Firefox
Operating system and browser,Department of Agriculture,1/22/24,iOS,6268,Safari (in-app)
Operating system and browser,Department of Agriculture,1/22/24,Android,4395,Samsung Internet
Operating system and browser,Department of Agriculture,1/22/24,Android,2723,Android Webview
Operating system and browser,Department of Agriculture,1/22/24,Macintosh,2602,Firefox
Operating system and browser,Department of Agriculture,1/22/24,Android,711,Firefox
Operating system and browser,Department of Agriculture,1/22/24,Windows,682,Opera
Operating system and browser,Department of Agriculture,1/22/24,Windows,655,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/22/24,Android,580,Amazon Silk
Operating system and browser,Department of Agriculture,1/22/24,Linux,360,Firefox
Operating system and browser,Department of Agriculture,1/22/24,iOS,297,(not set)
Operating system and browser,Department of Agriculture,1/22/24,Android,267,Opera
